Event,London,New York
website scraping and RPD creation,08:50,03:50
email report to PEO-PIPE,09:00,04:00
website scraping and RPD creation,11:50,06:50
email report to PEO-PIPE,12:00,07:00
website scraping and RPD creation,16:50,11:50
website scraping and RPD creation,21:50,16:50
website scraping and RPD creation,01:50,20:50
website scraping and RPD creation,05:50,01:50
